
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:C7:C8:F4:7B:E0, 2017-11-23 16:32:04, 2017-11-23 16:32:45,  6,  54, WPA2, CCMP,PSK, -14,       26,      244,   0.  0.  0.  0,  12, LPU Wireless, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
A0:18:28:D9:35:B4, 2017-11-23 16:32:11, 2017-11-23 16:32:43, -84,        3, D8:C7:C8:F4:7B:E0,
A0:B4:A5:AB:AE:2E, 2017-11-23 16:32:32, 2017-11-23 16:32:32, -80,        1, D8:C7:C8:F4:7B:E0,
00:26:C6:2B:A0:92, 2017-11-23 16:32:32, 2017-11-23 16:32:33, -80,        7, D8:C7:C8:F4:7B:E0,
AC:C3:3A:87:44:55, 2017-11-23 16:32:32, 2017-11-23 16:32:32, -80,        1, D8:C7:C8:F4:7B:E0,
78:02:F8:8C:23:E5, 2017-11-23 16:32:43, 2017-11-23 16:32:43, -72,        1, D8:C7:C8:F4:7B:E0,LPU Wireless
44:1C:A8:70:97:C1, 2017-11-23 16:32:32, 2017-11-23 16:32:32, -68,        5, D8:C7:C8:F4:7B:E0,
D8:5D:E2:AA:1E:15, 2017-11-23 16:32:11, 2017-11-23 16:32:32, -58,       22, D8:C7:C8:F4:7B:E0,
64:DB:43:1A:D0:CD, 2017-11-23 16:32:11, 2017-11-23 16:32:32, -56,        9, D8:C7:C8:F4:7B:E0,
B8:64:91:BB:63:17, 2017-11-23 16:32:11, 2017-11-23 16:32:45, -50,       91, D8:C7:C8:F4:7B:E0,LPU Wireless
AC:C1:EE:AB:B3:EB, 2017-11-23 16:32:04, 2017-11-23 16:32:45, -48,       61, D8:C7:C8:F4:7B:E0,
A0:86:C6:08:4F:17, 2017-11-23 16:32:11, 2017-11-23 16:32:44, -44,       18, D8:C7:C8:F4:7B:E0,
E4:90:7E:13:0F:15, 2017-11-23 16:32:33, 2017-11-23 16:32:42,  -1,        5, D8:C7:C8:F4:7B:E0,

